subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
30mosub09,5,25000,29999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,5,25000,29999,parent_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,19,95000,99999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,21,105000,109999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,23,115000,119999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,34,170000,174999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,35,175000,179999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,39,195000,199999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,40,200000,204999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,40,200000,204999,parent_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,43,215000,219999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,43,215000,219999,parent_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,45,225000,229999,child_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,45,225000,229999,parent_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,49,245000,249999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,49,245000,249999,parent_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,50,250000,254999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,50,250000,254999,parent_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub09,54,270000,274999,child_on,30,30,IL,,,,,,,,,,,,,,,,,
30mosub09,54,270000,274999,parent_on,30,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,8,40000,44999,parent_on,11,23,IL,,,,,,,,,,,,,,,,,
30mosub11,9,45000,49999,parent_on,11,23,IL,,,,,,,,,,,,,,,,,
30mosub11,15,75000,79999,parent_on,12,12,IL,,,,,,,,,,,,,,,,,
30mosub11,34,170000,174999,child_on,3,29,IL,,,,,,,,,,,,,,,,,
30mosub11,34,170000,174999,parent_on,3,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,36,180000,184999,child_on,29,27,IL,hammer hits the bucket,,,,,,,,,,,,,,,,
30mosub11,62,310000,314999,child_on,4,27,IL,,,,,,,,,,,,,,,,,
30mosub11,66,330000,334999,parent_on,"16,24","24,25",IL,,,,,,,,,,,,,,,,,
30mosub11,67,335000,339999,parent_on,6,"16,24,25",IL,,,,,,,,,,,,,,,,,
30mosub11,70,350000,354999,child_on,5,31,IL,,,,,,,,,,,,,,,,,
30mosub11,73,365000,369999,parent_in,5,23,IL,,,,,,,,,,,,,,,,,
30mosub11,79,395000,399999,child_in,32,33,IL,,,,,,,,,,,,,,,,,
30mosub11,80,400000,404999,child_in,32,33,IL,,,,,,,,,,,,,,,,,
30mosub11,81,405000,409999,child_in,32,33,IL,,,,,,,,,,,,,,,,,
30mosub11,100,500000,504999,parent_on,12,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,103,515000,519999,child_in,5,23,IL,,,,,,,,,,,,,,,,,
30mosub11,106,530000,534999,child_in,32,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,107,535000,539999,child_in,32,33,IL,,,,,,,,,,,,,,,,,
30mosub11,107,535000,539999,child_on,32,23,IL,,,,,,,,,,,,,,,,,
30mosub11,113,565000,569999,child_in,32,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,114,570000,574999,child_in,32,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,121,605000,609999,parent_on,3,31,IL,,,,,,,,,,,,,,,,,
30mosub11,122,610000,614999,child_on,3,31,IL,,,,,,,,,,,,,,,,,
30mosub11,122,610000,614999,parent_on,3,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,123,615000,619999,child_on,3,31,IL,,,,,,,,,,,,,,,,,
30mosub11,124,620000,624999,child_on,3,,IL,No SR,,,,,,,,,,,,,,,,
30mosub11,125,625000,629999,parent_on,16,23,IL,,,,,,,,,,,,,,,,,
30mosub12,45,225000,229999,parent_on,11,,AP,No SR,,,,,,,,,,,,,,,,
30mosub12,68,340000,344999,child_in,29,27,AP,for all the ones in this video the bins on here are one off from the actual number in the video (ex 68 here is 69 in the video),,,,,,,,,,,,,,,,
30mosub12,68,340000,344999,parent_in,29,27,AP,,,,,,,,,,,,,,,,,
30mosub12,69,345000,349999,parent_in,29,27,AP,,,,,,,,,,,,,,,,,
30mosub12,81,405000,409999,parent_on,11,23,AP,,,,,,,,,,,,,,,,,
30mosub12,86,430000,434999,parent_in,11,26,AP,,,,,,,,,,,,,,,,,
30mosub12,100,500000,504999,parent_in,22,27,AP,,,,,,,,,,,,,,,,,
30mosub12,106,530000,534999,child_in,21,2,AP,,,,,,,,,,,,,,,,,
